"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C36H56O12","[M+Cl]-","aliphatic","aliphatic",0.1,-0.8889,1.56,0.33,-3,9,-0.0833
"C35H56O15","[M-H]-","aliphatic","aliphatic",0.0182,-0.7429,1.6,0.43,-7,8,-0.2
"C39H56O12","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1818,-0.8205,1.44,0.31,0,12,0
"C37H60O11","[M+Cl]-","aliphatic","aliphatic",0.0794,-1.027,1.62,0.3,-3,8,-0.0811
"C36H60O14","[M-H]-","aliphatic","aliphatic",0,-0.8889,1.67,0.39,-7,7,-0.1944
"C37H64O13","[M-H]-","aliphatic","aliphatic",-0.0164,-1.027,1.73,0.35,-7,6,-0.1892
"C38H68O12","[M-H]-","aliphatic","aliphatic",-0.0312,-1.1579,1.79,0.32,-7,5,-0.1842
"C39H72O9S1","[M-H]-","aliphatic","aliphatic",-0.0448,-1.3333,1.85,0.23,-6,4,-0.1538
"C36H63O13N1","[M-H]-","aliphatic","aliphatic+N",-0.0526,-0.9444,1.75,0.36,-8,6,-0.2222
"C42H67O6N1","[M+Cl]-","aliphatic","aliphatic+N",0.1579,-1.2381,1.6,0.14,3,10,0.0714
"C35H42O16","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2593,-0.2857,1.2,0.46,-1,15,-0.0286
"C37H46O12","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2903,-0.5946,1.24,0.32,3,15,0.0811
"C36H46O15","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2281,-0.4444,1.28,0.42,-1,14,-0.0278
"C37H50O14","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2,-0.5946,1.35,0.38,-1,13,-0.027
"C35H54O13","[M+Cl]-","aliphatic","aliphatic",0.0877,-0.8,1.54,0.37,-4,9,-0.1143
"C34H54O16","[M-H]-","aliphatic","aliphatic",0,-0.6471,1.59,0.47,-8,8,-0.2353
"C39H54O10","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2353,-0.8718,1.38,0.26,3,13,0.0769
"C45H50O8","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.4146,-0.7556,1.11,0.18,13,21,0.2889
"C38H54O13","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1746,-0.7368,1.42,0.34,-1,12,-0.0263
"C36H58O12","[M+Cl]-","aliphatic","aliphatic",0.0667,-0.9444,1.61,0.33,-4,8,-0.1111
"C35H58O15","[M-H]-","aliphatic","aliphatic",-0.0182,-0.8,1.66,0.43,-8,7,-0.2286
"C39H58O12","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1515,-0.8718,1.49,0.31,-1,11,-0.0256
"C37H62O11","[M+Cl]-","aliphatic","aliphatic",0.0476,-1.0811,1.68,0.3,-4,7,-0.1081
"C36H62O14","[M-H]-","aliphatic","aliphatic",-0.0345,-0.9444,1.72,0.39,-8,6,-0.2222
"C40H62O11","[M-H]-","aliphatic","aliphatic",0.1304,-1,1.55,0.28,-1,10,-0.025
"C38H66O10","[M+Cl]-","aliphatic","aliphatic",0.0303,-1.2105,1.74,0.26,-4,6,-0.1053
"C37H66O13","[M-H]-","aliphatic","aliphatic",-0.0492,-1.0811,1.78,0.35,-8,5,-0.2162
"C40H74O8","[M+Cl]-","aliphatic","aliphatic",0,-1.45,1.85,0.2,-4,4,-0.1
"C42H82O4S1","[M+Cl]-","aliphatic","aliphatic",-0.0256,-1.7143,1.95,0.1,-3,2,-0.0714
"C25H36O24","[M-H]-","unsaturated/lignin","unsaturated/lignin",-0.3077,0.48,1.44,0.96,-16,8,-0.64
"C32H44O16","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.125,-0.375,1.38,0.5,-5,11,-0.1562
"C36H48O15","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.193,-0.5,1.33,0.42,-2,13,-0.0556
"C34H52O14","[M+Cl]-","aliphatic","aliphatic",0.0741,-0.7059,1.53,0.41,-5,9,-0.1471
"C37H52O14","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1667,-0.6486,1.41,0.38,-2,12,-0.0541
"C35H56O13","[M+Cl]-","aliphatic","aliphatic",0.0526,-0.8571,1.6,0.37,-5,8,-0.1429
"C39H56O10","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2059,-0.9231,1.44,0.26,2,12,0.0513
"C45H52O8","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.3902,-0.8,1.16,0.18,12,20,0.2667
"C38H56O13","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1429,-0.7895,1.47,0.34,-2,11,-0.0526
"C36H60O12","[M+Cl]-","aliphatic","aliphatic",0.0333,-1,1.67,0.33,-5,7,-0.1389
"C35H60O15","[M-H]-","aliphatic","aliphatic",-0.0545,-0.8571,1.71,0.43,-9,6,-0.2571
"C39H60O12","[M-H]-","aliphatic","aliphatic",0.1212,-0.9231,1.54,0.31,-2,10,-0.0513
"C37H64O11","[M+Cl]-","aliphatic","aliphatic",0.0159,-1.1351,1.73,0.3,-5,6,-0.1351
"C36H64O14","[M-H]-","aliphatic","aliphatic",-0.069,-1,1.78,0.39,-9,5,-0.25
"C41H64O8","[M+Cl]-","aliphatic","aliphatic",0.1622,-1.1707,1.56,0.2,2,10,0.0488
"C38H68O10","[M+Cl]-","aliphatic","aliphatic",0,-1.2632,1.79,0.26,-5,5,-0.1316
"C41H80O7","[M+Cl]-","aliphatic","aliphatic",-0.04,-1.6098,1.95,0.17,-5,2,-0.122
"C25H39O21N1S1","[M-H]-","aliphatic","aliphatic+N",-0.44,0.32,1.56,0.84,-16,7,-0.64
"C20H38O24N2S1","[M-H]-","aliphatic","aliphatic+N",-2.4,0.9,1.9,1.2,-24,3,-1.2
"C38H38O12","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.4375,-0.3684,1,0.32,8,20,0.2105
"C39H42O11","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.403,-0.5128,1.08,0.28,8,19,0.2051
"C32H46O16","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.0833,-0.4375,1.44,0.5,-6,10,-0.1875
"C35H46O16","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1852,-0.4,1.31,0.46,-3,13,-0.0857
"C37H50O12","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2258,-0.7027,1.35,0.32,1,13,0.027
"C36H50O15","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1579,-0.5556,1.39,0.42,-3,12,-0.0833
"C34H54O14","[M+Cl]-","aliphatic","aliphatic",0.037,-0.7647,1.59,0.41,-6,8,-0.1765
"C38H54O11","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2,-0.8421,1.42,0.29,1,12,0.0263
